Date,Type,Team,Conf.,Opp.,Venue,Adj. O,Adj. D,T,O.EFF,O.eFG%,O.TO%,O.Reb%,O.FTR,D.EFF,D.eFG%,D.TO%,D.Reb%,D.FTR,G-Sc,+/-,Win,Points_For,Points_Against,Point_Differential
2020-11-25,N,Illinois,B10,North Carolina A&T,Home,139.6,87.4,81.2,150.3,70.0,18.5,60.6,32.0,73.9,38.3,14.8,10.6,32.8,99.5,29,1,122,60,62
2020-11-25,N,Pepperdine,WCC,UC Irvine,Neutral,131.4,107.5,69.9,123.1,56.2,14.3,39.4,23.4,103.0,43.5,15.7,34.9,20.3,91.0,6,1,86,72,14
2020-11-25,N,Virginia,ACC,Towson,Neutral,129.5,96.9,60.8,146.4,67.5,9.9,29.6,6.3,88.9,43.9,16.5,21.2,28.6,96.6,15,1,89,54,35
2020-11-25,N,Arkansas,SEC,Mississippi Valley S,Home,129.3,105.4,86.8,163.7,67.4,8.1,47.6,38.4,71.5,41.0,24.2,22.4,8.3,91.3,29,1,142,62,80
2020-11-25,N,Drake,MVC,Kansas St.,Away,128.4,115.0,64.5,124.0,54.2,12.4,36.4,30.0,108.5,51.8,21.7,42.9,35.7,78.0,1,1,80,70,10
2020-11-25,N,Cal Baptist,WAC,USC,Away,128.1,106.2,69.6,111.1,59.2,16.6,23.1,7.0,121.3,59.8,21.7,48.6,45.5,89.6,-2,0,95,87,8
2020-11-25,N,Michigan,B10,Bowling Green,Home,127.5,110.6,73.9,129.9,62.3,13.5,31.2,42.6,111.0,45.7,8.1,26.1,31.4,83.6,8,1,96,82,14
2020-11-25,N,Bowling Green,MAC,Michigan,Away,126.6,112.6,73.9,111.0,45.7,8.1,26.1,31.4,129.9,62.3,13.5,31.2,42.6,79.3,-8,0,96,82,14
2020-11-25,N,Montana St.,BSky,UNLV,Away,125.6,102.2,73.2,124.3,64.8,17.8,23.1,44.4,106.6,55.5,24.6,27.3,38.2,91.4,11,1,91,78,13
2020-11-25,N,VCU,A10,Utah St.,Neutral,124.6,97.5,73.4,115.8,62.3,19.1,15.4,41.5,94.0,46.4,24.5,35.1,46.4,94.4,1,1,85,69,16
2020-11-25,N,Ohio St.,B10,Illinois St.,Home,123.1,91.8,75.6,124.4,53.1,13.2,35.9,56.2,88.7,46.5,21.2,21.6,33.3,96.7,19,1,94,67,27
2020-11-25,N,Arizona St.,P12,Rhode Island,Neutral,122.5,108.4,79.7,117.9,49.2,15.0,37.2,75.4,110.4,59.8,21.3,27.3,62.5,80.3,5,1,94,88,6
2020-11-25,N,SMU,Amer,Sam Houston St.,Home,122.3,99.2,74.4,130.3,61.9,21.5,44.8,47.5,90.0,45.2,17.5,23.3,29.0,91.7,7,1,97,67,30
2020-11-25,N,Maryland,B10,Old Dominion,Home,121.6,97.5,70.6,120.4,55.6,12.8,29.4,28.6,94.9,42.4,15.6,31.1,24.2,92.7,10,1,85,67,18
2020-11-25,N,San Diego St.,MWC,UCLA,Home,121.5,85.7,62.0,117.6,54.3,16.1,36.4,20.7,93.5,47.7,24.2,24.1,55.8,98.2,5,1,73,58,15
2020-11-25,N,Nicholls St.,Slnd,UC Davis,Neutral,121.3,120.1,82.3,122.7,56.2,15.8,30.6,52.3,112.9,66.3,24.3,22.2,79.6,52.8,3,1,101,93,8
2020-11-25,N,Iowa,B10,North Carolina Centr,Home,121.0,115.9,68.9,140.7,56.1,13.1,54.1,43.9,97.2,47.4,21.8,31.4,29.8,62.1,8,1,97,67,30
2020-11-25,N,Xavier,BE,Oakland,Home,120.7,66.9,76.5,132.0,69.7,13.1,20.7,5.6,64.0,28.3,20.9,27.8,18.8,99.9,28,1,101,49,52
2020-11-25,N,Connecticut,BE,Central Connecticut,Home,119.4,117.4,74.7,136.6,63.2,20.1,55.9,32.4,100.4,57.7,25.4,22.6,44.2,54.9,7,1,102,75,27
2020-11-25,N,Providence,BE,Fairfield,Home,119.4,93.8,72.1,134.6,53.6,9.7,42.5,41.4,77.7,39.2,20.8,20.6,47.1,94.1,10,1,97,56,41
2020-11-25,N,Kentucky,SEC,Morehead St.,Home,118.2,72.6,68.1,118.9,61.0,22.0,44.0,23.7,66.1,37.0,29.4,29.7,32.0,99.6,15,1,81,45,36
2020-11-25,N,Southern Utah,BSky,Loyola Marymount,Away,117.6,107.2,73.6,112.7,57.5,21.7,31.2,30.0,115.4,57.1,16.3,32.3,55.4,74.3,2,0,85,83,2
2020-11-25,N,Central Connecticut,NEC,Connecticut,Away,116.9,116.2,74.7,100.4,57.7,25.4,22.6,44.2,136.6,63.2,20.1,55.9,32.4,51.6,-7,0,102,75,27
2020-11-25,N,Georgia St.,SB,Georgia Tech,Away,116.7,94.4,75.4,108.8,53.7,17.7,37.3,40.0,106.2,40.3,19.5,47.8,60.2,92.0,2,1,123,120,3
2020-11-25,N,Western Kentucky,CUSA,Northern Iowa,Neutral,116.4,110.4,79.0,117.8,50.8,11.4,29.4,47.7,110.2,61.9,21.5,17.1,17.5,64.8,3,1,93,87,6
2020-11-25,N,Missouri,SEC,Oral Roberts,Home,115.7,84.7,74.6,121.9,60.9,22.8,42.4,28.1,85.8,40.2,20.1,30.2,18.2,97.3,12,1,91,64,27
2020-11-25,N,Northern Iowa,MVC,Western Kentucky,Neutral,115.3,113.1,79.0,110.2,61.9,21.5,17.1,17.5,117.8,50.8,11.4,29.4,47.7,55.5,-3,0,93,87,6
2020-11-25,N,Marquette,BE,Arkansas Pine Bluff,Home,114.4,84.8,76.4,129.6,60.7,18.3,41.2,76.8,74.6,29.5,20.9,35.3,39.4,96.9,25,1,99,57,42
2020-11-25,N,Purdue,B10,Liberty,Neutral,114.3,89.9,67.4,114.2,67.0,23.7,22.7,20.8,94.9,51.0,19.3,21.9,30.8,94.0,6,1,77,64,13
