Date,Type,Team,Conf.,Opp.,Venue,Adj. O,Adj. D,T,O.EFF,O.eFG%,O.TO%,O.Reb%,O.FTR,D.EFF,D.eFG%,D.TO%,D.Reb%,D.FTR,G-Sc,+/-,Win,Points_For,Points_Against,Point_Differential
2014-11-14,N,Duke,ACC,Presbyterian,Home,143.4,82.0,67.4,167.7,72.5,13.4,56.7,23.2,65.3,35.6,25.2,21.6,21.2,99.8,27,1,113,44,69
2014-11-14,N,SMU,Amer,Lamar,Home,133.8,94.5,63.5,146.5,65.7,15.7,42.3,50.0,85.0,36.3,25.2,42.6,58.8,98.2,18,1,93,54,39
2014-11-14,N,Ohio St.,B10,UMass Lowell,Home,130.0,98.5,65.4,140.7,69.2,13.8,37.9,25.0,84.1,50.0,29.1,20.0,25.5,96.0,18,1,92,55,37
2014-11-14,N,UCLA,P12,Montana St.,Home,129.3,105.6,81.5,138.7,64.0,13.5,39.5,58.8,95.7,55.1,27.0,27.3,28.8,91.1,20,1,113,78,35
2014-11-14,N,Xavier,BE,Northern Arizona,Home,128.5,84.6,72.4,128.5,73.1,22.1,25.0,35.2,82.9,44.4,22.1,31.1,19.0,99.2,22,1,93,60,33
2014-11-14,N,Ball St.,MAC,Utah,Away,125.4,114.8,68.1,105.7,54.5,22.0,29.0,23.6,132.2,65.3,20.6,50.0,81.6,73.4,-8,0,90,72,18
2014-11-14,N,BYU,WCC,Long Beach St.,Home,125.4,118.6,77.6,122.4,62.0,21.9,33.3,61.1,116.0,64.8,23.2,31.4,32.8,65.7,3,1,95,90,5
2014-11-14,N,Utah,P12,Ball St.,Home,123.3,113.2,68.1,132.2,65.3,20.6,50.0,81.6,105.7,54.5,22.0,29.0,23.6,72.8,8,1,90,72,18
2014-11-14,N,Lafayette,Pat,Robert Morris,Away,122.1,76.8,64.1,120.1,56.1,21.8,44.0,57.1,78.0,29.8,17.2,28.9,51.9,99.5,18,1,77,50,27
2014-11-14,N,Georgia Tech,ACC,Georgia,Home,121.9,95.9,72.4,110.5,50.0,16.6,38.5,42.9,100.8,46.0,16.6,31.6,33.9,94.1,7,1,80,73,7
2014-11-14,N,Pepperdine,WCC,Fresno St.,Home,121.5,107.1,71.1,125.2,61.8,22.5,41.7,62.7,104.1,50.8,19.7,35.9,39.0,81.1,9,1,89,74,15
2014-11-14,N,Oakland,Horz,Iowa St.,Away,121.0,109.9,73.0,112.3,59.8,17.8,19.4,35.7,127.4,57.8,11.0,30.3,63.8,75.1,-7,0,93,82,11
2014-11-14,N,Texas,B12,North Dakota St.,Home,120.0,75.4,70.0,121.4,54.0,14.3,36.4,33.9,71.4,33.1,15.7,22.0,27.4,99.5,19,1,85,50,35
2014-11-14,N,UT Arlington,SB,Bradley,Away,119.9,102.2,78.0,110.3,58.5,24.4,27.3,64.2,96.2,44.9,17.9,35.4,36.8,86.2,12,1,86,75,11
2014-11-14,N,N.C. State,ACC,Jackson St.,Home,119.7,91.7,75.6,123.0,59.0,13.2,31.4,52.5,76.7,32.0,15.9,22.4,35.9,95.5,18,1,93,58,35
2014-11-14,N,Long Beach St.,BW,BYU,Away,119.7,105.0,77.6,116.0,64.8,23.2,31.4,32.8,122.4,62.0,21.9,33.3,61.1,81.9,-3,0,95,90,5
2014-11-14,N,Iowa,B10,Hampton,Home,119.6,86.5,72.9,123.5,54.9,19.2,46.2,54.1,76.8,37.3,23.3,26.8,28.8,97.6,17,1,90,56,34
2014-11-14,N,Stanford,P12,Wofford,Home,119.5,94.8,63.7,116.2,53.8,18.8,42.9,52.8,92.6,51.1,25.1,30.0,31.9,93.5,7,1,74,59,15
