Date,Type,Team,Opp,Points_For,Points_Against,Win
2010-11-08,nc,Seattle,Maryland,76,105,0
2010-11-08,nc,Rhode Island,Pittsburgh,75,83,0
2010-11-08,nc,Navy,Texas,52,83,0
2010-11-08,nc,UC Irvine,Illinois,65,79,0
2010-11-10,nc,College of Charleston,Maryland,74,75,0
2010-11-10,nc,Illinois Chicago,Pittsburgh,54,97,0
2010-11-10,nc,Louisiana Tech,Texas,58,89,0
2010-11-10,nc,Toledo,Illinois,45,84,0
2010-11-12,nc,UNC Asheville,Auburn,70,69,1
2010-11-12,nc,Cal St. Northridge,UCLA,50,83,0
2010-11-12,nc,Idaho St.,Colorado,80,88,0
2010-11-12,nc,Stony Brook,Connecticut,52,79,0
2010-11-12,nc,St. Francis PA,American,52,62,0
2010-11-12,nc,Bowling Green,Howard,52,54,0
2010-11-12,nc,North Florida,Florida St.,55,75,0
2010-11-12,nc,UNC Wilmington,Florida,60,77,0
2010-11-12,nc,Southern Miss,South Florida,60,53,1
2010-11-12,nc,Charleston Southern,Georgia Tech,39,52,0
2010-11-12,nc,Mississippi Valley St.,Georgia,70,72,0
2010-11-12,nc,Montana St.,Hawaii,59,77,0
2010-11-12,nc,Northern Arizona,Iowa St.,64,78,0
2010-11-12,nc,Florida Gulf Coast,Indiana,60,88,0
2010-11-12,nc,Georgia Southern,Notre Dame,61,98,0
2010-11-12,nc,East Tennessee St.,Kentucky,65,88,0
2010-11-12,nc,Northwestern St.,LSU,78,87,0
2010-11-12,nc,St. Francis NY,Boston College,49,79,0
2010-11-12,nc,Boston University,Northeastern,64,66,0
2010-11-12,nc,Rider,Massachusetts,67,77,0
2010-11-12,nc,Eastern Michigan,Michigan St.,66,96,0
2010-11-12,nc,Wofford,Minnesota,55,69,0
2010-11-12,nc,Austin Peay,Saint Louis,64,62,1
2010-11-12,nc,Arkansas St.,Mississippi,60,68,0
2010-11-12,nc,Tennessee Tech,North Carolina St.,69,82,0
2010-11-12,nc,Lipscomb,North Carolina,66,80,0
2010-11-12,nc,Stetson,Wake Forest,89,79,1
2010-11-12,nc,Alabama St.,Creighton,57,71,0
2010-11-12,nc,South Dakota,Nebraska,68,76,0
2010-11-12,nc,Rutgers,Princeton,73,78,0
2010-11-12,nc,Northern Iowa,Syracuse,46,68,0
2010-11-12,nc,Towson,Miami OH,57,60,0
2010-11-12,nc,North Carolina A&T,Ohio St.,61,102,0
2010-11-12,nc,Coppin St.,Oklahoma,57,77,0
2010-11-12,nc,Appalachian St.,Tulsa,89,86,1
2010-11-12,nc,Lehigh,Penn St.,56,70,0
2010-11-12,nc,Seton Hall,Temple,56,62,0
2010-11-12,nc,Bucknell,Villanova,52,68,0
2010-11-12,nc,Western Carolina,Clemson,64,87,0
2010-11-12,nc,Centenary,Memphis,40,104,0
2010-11-12,nc,Presbyterian,Vanderbilt,47,88,0
2010-11-12,nc,Grambling St.,Baylor,52,87,0
2010-11-12,nc,Alcorn St.,Texas A&M,56,88,0
2010-11-12,nc,Nicholls St.,Houston,62,63,0
2010-11-12,nc,Fresno St.,BYU,56,83,0
2010-11-12,nc,The Citadel,Richmond,37,79,0
2010-11-12,nc,William & Mary,Virginia,52,76,0
2010-11-12,nc,Campbell,Virginia Tech,60,70,0
2010-11-12,nc,Prairie View A&M,Marquette,58,97,0
2010-11-12,nc,Oakland,West Virginia,71,95,0
2010-11-12,nc,Indiana St.,UT Rio Grande Valley,69,46,1
2010-11-12,nc,Georgetown,Old Dominion,62,59,1
2010-11-12,nc,New Mexico St.,Louisiana Lafayette,92,76,1
2010-11-12,nc,Bryant,Cleveland St.,57,71,0
2010-11-12,nc,San Jose St.,Eastern Washington,67,60,1
2010-11-12,nc,Florida A&M,Alabama,37,76,0
2010-11-12,nc,Tennessee St.,Mississippi St.,65,75,0
2010-11-12,nc,Cornell,Albany,65,61,1
2010-11-12,nc,St. Bonaventure,Canisius,70,80,0
2010-11-12,nc,South Dakota St.,Eastern Illinois,67,55,1
2010-11-12,nc,Florida Atlantic,UC Davis,70,63,1
2010-11-12,nc,Brown,Fordham,69,65,1
2010-11-12,nc,Southern,Gonzaga,72,117,0
2010-11-12,nc,Longwood,Kansas,75,113,0
2010-11-12,nc,James Madison,Kansas St.,61,75,0
2010-11-12,nc,Iona,Kent St.,72,73,0
2010-11-12,nc,Columbia,La Salle,71,82,0
