Date,Type,Team,Opp,Points_For,Points_Against,Win
2026-03-06,N,Seattle U,San Diego,58,56,1
2026-03-06,N,Morehead State,Southeast Missouri State,66,61,1
2026-03-06,N,Illinois State,Northern Iowa,52,74,0
2026-03-06,N,San Diego State,UNLV,89,86,1
2026-03-06,N,North Dakota,Denver,83,67,1
2026-03-06,N,Radford,Presbyterian,85,91,0
2026-03-06,N,Ohio,Miami (OH),108,110,0
2026-03-06,N,Seton Hall,St. John's,65,72,0
2026-03-06,N,Washington State,Portland,68,74,0
2026-03-06,N,South Alabama,Georgia Southern,85,94,0
2026-03-06,N,Saint Peter's,Fairfield,55,74,0
2026-03-06,N,Tennessee State,UT Martin,68,55,1
2026-03-06,N,West Virginia,UCF,77,62,1
2026-03-06,N,UNC Greensboro,VMI,84,70,1
2026-03-06,N,Queens University,West Georgia,71,63,1
2026-03-06,N,South Dakota,Omaha,62,76,0
2026-03-06,N,Bradley,Valparaiso,90,84,1
2026-03-06,N,Dayton,VCU,62,68,0
2026-03-06,N,Brown,Pennsylvania,61,82,0
2026-03-06,N,Kent State,Western Michigan,86,78,1
2026-03-06,N,Ball State,Central Michigan,85,69,1
2026-03-06,N,Toledo,Buffalo,98,78,1
2026-03-06,N,Harvard,Columbia,81,71,1
2026-03-06,N,Eastern Michigan,Bowling Green,69,77,0
2026-03-06,N,Texas State,Southern Miss,77,81,0
2026-03-06,N,Merrimack,Sacred Heart,70,48,1
2026-03-06,N,UNC Asheville,Longwood,85,82,1
2026-03-06,N,Akron,Northern Illinois,94,55,1
2026-03-06,N,Chattanooga,The Citadel,85,88,0
2026-03-06,N,Austin Peay,Stetson,69,60,1
2026-03-06,N,Murray State,UIC,79,92,0
2026-03-06,N,Winthrop,Charleston Southern,86,81,1
2026-03-06,N,Lipscomb,Florida Gulf Coast,53,77,0
2026-03-06,N,North Carolina A&T,Northeastern,72,88,0
2026-03-06,N,Belmont,Drake,79,100,0
2026-03-06,N,High Point,Gardner-Webb,81,59,1
2026-03-06,N,Central Arkansas,Bellarmine,86,73,1
2026-03-05,N,Hawai'i,UC Riverside,93,74,1
2026-03-05,N,Loyola Marymount,San Diego,62,66,0
2026-03-05,N,Long Beach State,UC Davis,70,76,0
2026-03-05,N,UC Irvine,Cal Poly,107,85,1
2026-03-05,N,Cal State Fullerton,UC San Diego,75,71,1
2026-03-05,N,California Baptist,Abilene Christian,87,48,1
2026-03-05,N,St. Thomas-Minnesota,South Dakota State,80,67,1
2026-03-05,N,Southeast Missouri State,Lindenwood,68,66,1
2026-03-05,N,Northern Iowa,Evansville,68,59,1
2026-03-05,N,Cal State Bakersfield,Cal State Northridge,84,86,0
2026-03-05,N,Alabama A&M,Southern,85,88,0
2026-03-05,N,Memphis,South Florida,89,96,0
2026-03-05,N,Portland,Pepperdine,77,68,1
2026-03-05,N,Alcorn State,Arkansas-Pine Bluff,48,83,0
2026-03-05,N,UTEP,Kennesaw State,78,71,1
2026-03-05,N,New Mexico State,Jacksonville State,77,75,1
2026-03-05,N,Arkansas State,Georgia Southern,77,80,0
2026-03-05,N,Fairfield,Manhattan,71,60,1
2026-03-05,N,Jackson State,Mississippi Valley State,85,77,1
2026-03-05,N,Morgan State,Coppin State,70,66,1
2026-03-05,N,Southern Utah,Utah Valley,88,92,0
2026-03-05,N,Iowa,Michigan,68,71,0
2026-03-05,N,Michigan State,Rutgers,91,87,1
2026-03-05,N,Norfolk State,Howard,76,84,0
2026-03-05,N,Alabama State,Grambling,63,65,0
2026-03-05,N,Texas Southern,Prairie View A&M,59,70,0
2026-03-05,N,Maryland Eastern Shore,Delaware State,56,57,0
2026-03-05,N,Tarleton State,UT Arlington,60,65,0
2026-03-05,N,Missouri State,Western Kentucky,87,74,1
2026-03-05,N,Florida A&M,Bethune-Cookman,81,77,1
2026-03-05,N,North Dakota State,Oral Roberts,76,65,1
2026-03-05,N,Lehigh,Holy Cross,69,66,1
2026-03-05,N,Colgate,Loyola Maryland,90,77,1
2026-03-05,N,Boston University,American University,75,73,1
2026-03-05,N,Navy,Bucknell,74,69,1
2026-03-05,N,UT Martin,Eastern Illinois,66,63,1
2026-03-05,N,Valparaiso,Indiana State,63,62,1
2026-03-05,N,Temple,Tulane,89,60,1
2026-03-05,N,East Carolina,Tulsa,66,93,0
2026-03-05,N,Florida International,Middle Tennessee,67,73,0
2026-03-05,N,Liberty,Louisiana Tech,71,76,0
2026-03-05,N,Delaware,Sam Houston,83,80,1
2026-03-05,N,Southern Miss,James Madison,86,80,1
2026-03-05,N,Iona,Sacred Heart,80,91,0
2026-03-05,N,North Carolina Central,South Carolina State,64,80,0
2026-03-05,N,Southern Illinois,Drake,63,67,0
2026-03-04,N,Washington,USC,91,72,1
2026-03-04,N,New Mexico,Colorado State,74,82,0
2026-03-04,N,Lindenwood,Little Rock,72,62,1
2026-03-04,N,Houston,Baylor,77,64,1
2026-03-04,N,Pittsburgh,Florida State,74,75,0
2026-03-04,N,Notre Dame,Stanford,78,86,0
2026-03-04,N,Northwestern,Purdue,66,70,0
2026-03-04,N,Georgia Southern,Old Dominion,88,84,1
2026-03-04,N,Saint Louis,Loyola Chicago,79,65,1
2026-03-04,N,Oral Roberts,Kansas City,84,62,1
2026-03-04,N,North Texas,Rice,62,58,1
2026-03-04,N,Wisconsin,Maryland,78,45,1
2026-03-04,N,DePaul,Villanova,57,76,0
2026-03-04,N,South Carolina Upstate,Gardner-Webb,64,65,0
2026-03-04,N,West Georgia,North Florida,93,85,1
2026-03-04,N,Penn State,Ohio State,62,94,0
2026-03-04,N,Arkansas,Texas,105,85,1
2026-03-04,N,SMU,Miami,69,77,0
