Date,Type,Team,Opp,Points_For,Points_Against,Win
2007-11-05,nc,Tennessee Martin,Memphis,71,102,0
2007-11-05,nc,Maine,Richmond,42,44,0
2007-11-06,nc,Central Arkansas,Kentucky,40,67,0
2007-11-06,nc,Richmond,Memphis,63,80,0
2007-11-06,nc,Tennessee Martin,Maine,66,62,1
2007-11-06,nc,Alabama A&M,Gardner Webb,55,69,0
2007-11-07,nc,Morgan St.,Connecticut,65,69,0
2007-11-07,nc,Gardner Webb,Kentucky,84,68,1
2007-11-07,nc,Alabama A&M,Central Arkansas,59,69,0
2007-11-08,nc,Buffalo,Connecticut,57,82,0
2007-11-08,nc,San Francisco,Oklahoma,55,71,0
2007-11-09,nc,Wofford,Arkansas,45,67,0
2007-11-09,nc,Massachusetts,Cal Poly,90,64,1
2007-11-09,nc,Liberty,San Diego St.,50,62,0
2007-11-09,nc,Harvard,Stanford,56,111,0
2007-11-09,nc,Portland St.,UCLA,48,69,0
2007-11-09,nc,New Mexico,Colorado,54,47,1
2007-11-09,nc,Nicholls St.,Florida St.,58,81,0
2007-11-09,nc,North Dakota St.,Florida,65,75,0
2007-11-09,nc,Cleveland St.,South Florida,73,70,1
2007-11-09,nc,UNC Greensboro,Georgia Tech,83,74,1
2007-11-09,nc,Jacksonville St.,Georgia,65,107,0
2007-11-09,nc,San Diego,Hawaii,73,72,1
2007-11-09,nc,Winston Salem St.,Iowa St.,44,58,0
2007-11-09,nc,Utah Valley,Boise St.,72,73,0
2007-11-09,nc,Kennesaw St.,Western Kentucky,61,96,0
2007-11-09,nc,St. Bonaventure,Boston University,57,68,0
2007-11-09,nc,Loyola MD,Towson,69,83,0
2007-11-09,nc,Radford,Michigan,55,82,0
2007-11-09,nc,Colorado St.,Montana,39,75,0
2007-11-09,nc,North Carolina Central,Duke,56,121,0
2007-11-09,nc,Fairfield,Wake Forest,60,85,0
2007-11-09,nc,DePaul,Creighton,62,74,0
2007-11-09,nc,Tennessee Tech,Rutgers,64,70,0
2007-11-09,nc,Fordham,Columbia,79,61,1
2007-11-09,nc,New Mexico St.,Ohio,72,80,0
2007-11-09,nc,Prairie View A&M,Oklahoma St.,48,104,0
2007-11-09,nc,Denver,Oklahoma,50,80,0
2007-11-09,nc,Drexel,Penn,67,59,1
2007-11-09,nc,Stony Brook,Villanova,64,86,0
2007-11-09,nc,Florida Atlantic,Rhode Island,63,90,0
2007-11-09,nc,McNeese St.,Texas A&M,50,73,0
2007-11-09,nc,Morehead St.,Houston,54,83,0
2007-11-09,nc,USC Upstate,Utah,52,86,0
2007-11-09,nc,Siena,James Madison,88,100,0
2007-11-09,nc,Elon,Virginia Tech,64,69,0
2007-11-09,nc,Eastern Washington,Washington St.,41,68,0
2007-11-09,nc,Portland,Fresno St.,68,75,0
2007-11-09,nc,Loyola Marymount,UC Irvine,61,74,0
2007-11-09,nc,Wagner,Lafayette,74,70,1
2007-11-09,nc,Southern Utah,Utah St.,49,60,0
2007-11-09,nc,Troy,Alabama,72,84,0
2007-11-09,nc,Texas Southern,Texas A&M Corpus Chris,72,64,1
2007-11-09,nc,Dartmouth,Air Force,38,67,0
2007-11-09,nc,Butler,Ball St.,61,45,1
2007-11-09,nc,Lipscomb,Centenary,69,72,0
2007-11-09,nc,Belmont,Cincinnati,86,75,1
2007-11-09,nc,Monmouth,Colgate,60,63,0
2007-11-09,nc,Howard,Duquesne,59,129,0
2007-11-09,nc,Brown,Eastern Michigan,74,55,1
2007-11-09,nc,Cal St. Bakersfield,Cal St. Fullerton,75,92,0
2007-11-09,nc,Vermont,George Mason,53,60,0
2007-11-09,nc,Idaho St.,Iowa,43,58,0
2007-11-09,nc,Louisiana Monroe,Kansas,78,107,0
2007-11-09,nc,Sacramento St.,Kansas St.,63,94,0
2007-11-09,nc,Navy,Longwood,88,72,1
2007-11-09,nc,Furman,UNC Asheville,75,78,0
2007-11-09,nc,High Point,Charlotte,55,61,0
2007-11-09,nc,Montana St.,UNLV,65,76,0
2007-11-09,nc,Saint Louis,North Carolina A&T,54,43,1
2007-11-09,nc,VMI,Northern Colorado,97,104,0
2007-11-09,nc,Northern Illinois,Northern Iowa,45,75,0
2007-11-09,nc,UC Santa Barbara,Northwestern St.,92,71,1
2007-11-09,nc,Alcorn St.,Southeastern Louisiana,54,72,0
2007-11-09,nc,South Carolina St.,South Carolina,67,92,0
2007-11-09,nc,Hartford,St. Francis NY,59,62,0
2007-11-09,nc,Temple,Tennessee,63,80,0
2007-11-09,nc,Arkansas Pine Bluff,UTEP,50,77,0
2007-11-09,nc,Auburn,Tulane,62,77,0
2007-11-09,nc,Maryland Eastern Shore,VCU,51,70,0
2007-11-09,nc,Bowling Green,Western Carolina,60,63,0
2007-11-09,nc,Oakland,Green Bay,75,76,0
2007-11-10,nc,San Diego St.,Portland,78,64,1
2007-11-10,nc,Northwestern St.,Stanford,58,97,0
2007-11-10,nc,Mercer,USC,96,81,1
2007-11-10,nc,Sacred Heart,Yale,71,82,0
2007-11-10,nc,Mount St. Mary's,George Washington,62,77,0
2007-11-10,nc,William & Mary,Georgetown,53,68,0
2007-11-10,nc,Centenary,Iowa St.,57,67,0
2007-11-10,nc,Bradley,Illinois Chicago,75,84,0
2007-11-10,nc,Rider,Murray St.,65,66,0
2007-11-10,nc,New Hampshire,Boston College,57,67,0
2007-11-10,nc,Hofstra,Holy Cross,47,61,0
2007-11-10,nc,Army,Minnesota,52,84,0
2007-11-10,nc,Mississippi Valley St.,Mississippi,63,97,0
2007-11-10,nc,Presbyterian,Nebraska,52,67,0
2007-11-10,nc,Lehigh,Cornell,83,87,0
2007-11-10,nc,Belmont,Bowling Green,67,78,0
2007-11-10,nc,North Carolina A&T,Pittsburgh,61,88,0
2007-11-10,nc,Austin Peay,Vanderbilt,67,81,0
2007-11-10,nc,Norfolk St.,Richmond,72,69,1
