Date,Type,Team,Opp,Points_For,Points_Against,Win
2011-11-07,nc,Valparaiso,Arizona,64,73,0
2011-11-07,nc,Eastern Kentucky,Mississippi St.,66,76,0
2011-11-07,nc,William & Mary,St. John's,59,74,0
2011-11-09,nc,Duquesne,Arizona,59,67,0
2011-11-09,nc,Liberty,Texas A&M,59,81,0
2011-11-09,nc,Akron,Mississippi St.,68,58,1
2011-11-09,nc,Lehigh,St. John's,73,78,0
2011-11-11,nc,McNeese St.,Auburn,62,84,0
2011-11-11,nc,USC Upstate,Arkansas,63,83,0
2011-11-11,nc,Montana St.,Arizona St.,72,78,0
2011-11-11,nc,Bryant,San Diego St.,63,75,0
2011-11-11,nc,Central Arkansas,Stanford,52,91,0
2011-11-11,nc,UC Irvine,California,56,77,0
2011-11-11,nc,Loyola Marymount,UCLA,69,58,1
2011-11-11,nc,Cal St. Northridge,USC,59,66,0
2011-11-11,nc,Montana,Colorado St.,58,64,0
2011-11-11,nc,Columbia,Connecticut,57,70,0
2011-11-11,nc,Central Connecticut,Yale,69,73,0
2011-11-11,nc,Maryland Eastern Shore,George Washington,48,64,0
2011-11-11,nc,Jacksonville,Florida St.,67,79,0
2011-11-11,nc,Bethune Cookman,Stetson,60,65,0
2011-11-11,nc,Jackson St.,Florida,59,99,0
2011-11-11,nc,Florida A&M,Georgia Tech,59,92,0
2011-11-11,nc,Wofford,Georgia,49,62,0
2011-11-11,nc,Stony Brook,Indiana,66,96,0
2011-11-11,nc,Marist,Kentucky,58,108,0
2011-11-11,nc,Tennessee Martin,Louisville,48,83,0
2011-11-11,nc,Saint Joseph's,Western Kentucky,72,61,1
2011-11-11,nc,Northeastern,Boston University,82,74,1
2011-11-11,nc,Elon,Massachusetts,67,85,0
2011-11-11,nc,North Carolina,Michigan St.,67,55,1
2011-11-11,nc,Bucknell,Minnesota,58,70,0
2011-11-11,nc,Tennessee St.,Saint Louis,37,71,0
2011-11-11,nc,Southeast Missouri St.,Missouri,68,83,0
2011-11-11,nc,Louisiana Monroe,Mississippi,38,60,0
2011-11-11,nc,Belmont,Duke,76,77,0
2011-11-11,nc,UNC Asheville,North Carolina St.,75,84,0
2011-11-11,nc,Loyola MD,Wake Forest,63,75,0
2011-11-11,nc,North Carolina A&T,Creighton,65,97,0
2011-11-11,nc,South Dakota,Nebraska,48,65,0
2011-11-11,nc,Dartmouth,Rutgers,56,62,0
2011-11-11,nc,Cornell,St. Bonaventure,58,79,0
2011-11-11,nc,Howard,Bowling Green,48,63,0
2011-11-11,nc,Wright St.,Ohio St.,42,73,0
2011-11-11,nc,Texas A&M Corpus Chris,Oklahoma St.,39,71,0
2011-11-11,nc,Idaho St.,Oklahoma,74,78,0
2011-11-11,nc,Arkansas Little Rock,Tulsa,49,65,0
2011-11-11,nc,Albany,Pittsburgh,56,89,0
2011-11-11,nc,Monmouth,Villanova,70,106,0
2011-11-11,nc,Gardner Webb,Clemson,44,65,0
2011-11-11,nc,Holy Cross,College of Charleston,69,78,0
2011-11-11,nc,Oregon,Vanderbilt,64,78,0
2011-11-11,nc,Texas Southern,Baylor,57,77,0
2011-11-11,nc,UC Davis,Southern Utah,75,76,0
2011-11-11,nc,American,Richmond,56,66,0
2011-11-11,nc,Mount St. Mary's,Marquette,37,91,0
2011-11-11,nc,Alabama St.,Marshall,49,67,0
2011-11-11,nc,Oral Roberts,West Virginia,71,78,0
2011-11-11,nc,Illinois St.,Fresno St.,47,55,0
2011-11-11,nc,Eastern Illinois,Indiana St.,72,79,0
2011-11-11,nc,Valparaiso,Georgia Southern,90,81,1
2011-11-11,nc,UT Rio Grande Valley,DePaul,72,91,0
2011-11-11,nc,Northern Arizona,Louisiana Lafayette,66,83,0
2011-11-11,nc,BYU,Utah St.,62,69,0
2011-11-11,nc,North Florida,Alabama,44,64,0
2011-11-11,nc,Loyola Chicago,Illinois,49,67,0
2011-11-11,nc,Army,Air Force,71,87,0
2011-11-11,nc,Saint Peter's,Buffalo,65,72,0
2011-11-11,nc,Houston Baptist,Campbell,68,82,0
2011-11-11,nc,Portland St.,Denver,61,69,0
2011-11-11,nc,Illinois Chicago,Eastern Michigan,57,68,0
2011-11-11,nc,Rhode Island,George Mason,90,92,0
2011-11-11,nc,Eastern Washington,Gonzaga,69,77,0
2011-11-11,nc,LIU Brooklyn,Hofstra,71,89,0
2011-11-11,nc,Chicago St.,Iowa,53,96,0
2011-11-11,nc,Towson,Kansas,54,100,0
2011-11-11,nc,Charleston Southern,Kansas St.,67,72,0
2011-11-11,nc,Arkansas St.,Lamar,62,65,0
2011-11-11,nc,Lafayette,La Salle,53,79,0
2011-11-11,nc,Navy,Longwood,78,70,1
2011-11-11,nc,Penn,UMBC,59,45,1
2011-11-11,nc,Tennessee Tech,Miami FL,58,69,0
2011-11-11,nc,Austin Peay,Middle Tennessee,71,80,0
2011-11-11,nc,North Carolina Central,Charlotte,57,73,0
2011-11-11,nc,Missouri St.,Nevada,68,46,1
2011-11-11,nc,Northern Illinois,Purdue,34,96,0
2011-11-11,nc,Fairfield,Quinnipiac,72,60,1
2011-11-11,nc,Delaware,Radford,54,58,0
2011-11-11,nc,Rider,Robert Morris,57,83,0
2011-11-11,nc,Hartford,Sacred Heart,50,70,0
2011-11-11,nc,North Dakota St.,San Francisco,73,65,1
2011-11-11,nc,Western Carolina,South Carolina,50,75,0
2011-11-11,nc,Florida Gulf Coast,TCU,72,73,0
2011-11-11,nc,UNC Greensboro,Tennessee,63,92,0
2011-11-11,nc,UTSA,UTEP,73,64,1
2011-11-11,nc,Troy,Texas Tech,85,90,0
2011-11-11,nc,Alabama A&M,Tulane,63,72,0
2011-11-11,nc,St. Francis PA,VCU,57,63,0
2011-11-11,nc,The Citadel,VMI,100,103,0
2011-11-11,nc,Morgan St.,Xavier,63,74,0
2011-11-12,nc,San Jose St.,Cal Poly,52,79,0
2011-11-12,nc,Southern Utah,San Diego St.,37,70,0
2011-11-12,nc,Savannah St.,Georgetown,54,83,0
2011-11-12,nc,Vermont,South Florida,59,61,0
2011-11-12,nc,Lehigh,Iowa St.,77,86,0
2011-11-12,nc,Mississippi Valley St.,Notre Dame,67,80,0
2011-11-12,nc,Nicholls St.,LSU,74,96,0
2011-11-12,nc,Presbyterian,Duke,55,96,0
2011-11-12,nc,Wagner,Princeton,73,57,1
2011-11-12,nc,Fordham,Syracuse,53,78,0
2011-11-12,nc,Cal St. Bakersfield,Oregon St.,62,86,0
2011-11-12,nc,Hartford,Penn St.,55,70,0
2011-11-12,nc,Grambling St.,Houston,42,88,0
2011-11-12,nc,East Tennessee St.,Virginia Tech,53,64,0
2011-11-12,nc,Georgia St.,Washington,74,91,0
2011-11-12,nc,Kennesaw St.,Wisconsin,31,85,0
2011-11-12,nc,Northern Iowa,Old Dominion,63,46,1
2011-11-12,nc,Idaho,Long Beach St.,61,69,0
2011-11-12,nc,Bryant,UC Davis,70,63,1
2011-11-12,nc,Butler,Evansville,77,80,0
2011-11-12,nc,South Alabama,Mississippi St.,65,80,0
2011-11-12,nc,The Citadel,Army,83,72,1
2011-11-12,nc,VMI,Air Force,65,75,0
2011-11-12,nc,Colgate,Binghamton,78,74,1
2011-11-12,nc,Western Illinois,Dayton,58,87,0
2011-11-12,nc,Portland,Florida Atlantic,70,65,1
2011-11-12,nc,William & Mary,Hampton,58,73,0
2011-11-12,nc,NJIT,Manhattan,48,62,0
2011-11-12,nc,Louisiana Lafayette,North Dakota St.,58,78,0
2011-11-12,nc,New Mexico St.,Northern Colorado,89,75,1
2011-11-12,nc,Fairleigh Dickinson,Providence,61,72,0
2011-11-12,nc,Youngstown St.,Samford,76,69,1
2011-11-12,nc,Northern Arizona,San Francisco,50,69,0
2011-11-12,nc,St. Francis NY,Seton Hall,71,75,0
2011-11-12,nc,Western Michigan,South Dakota St.,76,82,0
2011-11-12,nc,Eastern Kentucky,Winthrop,71,59,1
2011-11-12,nc,Nebraska Omaha,IPFW,72,83,0
2011-11-13,nc,Ball St.,Arizona,63,73,0
