Date,Type,Team,Opp,Points_For,Points_Against,Win
2009-11-09,nc,Murray St.,California,70,75,0
2009-11-09,nc,FIU,North Carolina,72,88,0
2009-11-09,nc,Albany,Syracuse,43,75,0
2009-11-09,nc,Alcorn St.,Ohio St.,60,100,0
2009-11-11,nc,Detroit,California,61,95,0
2009-11-11,nc,North Carolina Central,North Carolina,42,89,0
2009-11-11,nc,Robert Morris,Syracuse,60,100,0
2009-11-12,nc,Georgia St.,North Carolina St.,53,69,0
2009-11-12,nc,James Madison,Ohio St.,44,72,0
2009-11-13,nc,Niagara,Auburn,65,69,0
2009-11-13,nc,UAB,Green Bay,68,56,1
2009-11-13,nc,Alcorn St.,Arkansas,68,130,0
2009-11-13,nc,UC Davis,Colorado St.,73,91,0
2009-11-13,nc,Arkansas Pine Bluff,Colorado,72,88,0
2009-11-13,nc,William & Mary,Connecticut,66,75,0
2009-11-13,nc,Quinnipiac,Hartford,85,74,1
2009-11-13,nc,Yale,Sacred Heart,86,92,0
2009-11-13,nc,New Orleans,Georgia,59,67,0
2009-11-13,nc,Southern Utah,Hawaii,48,65,0
2009-11-13,nc,Idaho St.,Iowa St.,68,88,0
2009-11-13,nc,Loyola Marymount,Boise St.,87,90,0
2009-11-13,nc,Northern Illinois,Northwestern,55,77,0
2009-11-13,nc,Howard,Indiana,60,83,0
2009-11-13,nc,Morehead St.,Kentucky,59,75,0
2009-11-13,nc,Louisiana Monroe,LSU,62,82,0
2009-11-13,nc,Dartmouth,Boston College,58,89,0
2009-11-13,nc,Harvard,Holy Cross,87,77,1
2009-11-13,nc,Miami OH,Towson,71,82,0
2009-11-13,nc,Charleston Southern,Maryland,51,89,0
2009-11-13,nc,Florida Gulf Coast,Michigan St.,58,97,0
2009-11-13,nc,Tennessee Tech,Minnesota,50,87,0
2009-11-13,nc,Arkansas Little Rock,Mississippi,64,92,0
2009-11-13,nc,North Dakota,Montana,37,61,0
2009-11-13,nc,UNC Greensboro,Duke,62,96,0
2009-11-13,nc,Oral Roberts,Wake Forest,56,76,0
2009-11-13,nc,Cleveland St.,St. Bonaventure,62,72,0
2009-11-13,nc,Texas A&M Corpus Chris,Oregon St.,67,43,1
2009-11-13,nc,Penn,Penn St.,55,70,0
2009-11-13,nc,Wofford,Pittsburgh,60,63,0
2009-11-13,nc,Presbyterian,Clemson,41,84,0
2009-11-13,nc,Jackson St.,Memphis,53,82,0
2009-11-13,nc,Norfolk St.,Baylor,58,86,0
2009-11-13,nc,Sacramento St.,Rice,51,81,0
2009-11-13,nc,Bradley,BYU,60,70,0
2009-11-13,nc,Idaho,Utah,94,87,1
2009-11-13,nc,Lehigh,Richmond,53,65,0
2009-11-13,nc,Longwood,Virginia,72,85,0
2009-11-13,nc,Wright St.,Washington,69,74,0
2009-11-13,nc,Mississippi Valley St.,Washington St.,66,94,0
2009-11-13,nc,Centenary,Marquette,62,85,0
2009-11-13,nc,Wagner,Lafayette,72,81,0
2009-11-13,nc,College of Charleston,Coastal Carolina,59,70,0
2009-11-13,nc,Rider,Mississippi St.,88,74,1
2009-11-13,nc,SIU Edwardsville,Illinois,69,96,0
2009-11-13,nc,Morgan St.,Albany,69,65,1
2009-11-13,nc,UNC Wilmington,Appalachian St.,68,79,0
2009-11-13,nc,Valparaiso,Ball St.,78,88,0
2009-11-13,nc,Belmont,Portland St.,74,67,1
2009-11-13,nc,Massachusetts,UCF,67,84,0
2009-11-13,nc,Northern Iowa,Denver,71,65,1
2009-11-13,nc,Nicholls St.,Duquesne,62,85,0
2009-11-13,nc,Fairfield,Central Connecticut,67,58,1
2009-11-13,nc,Maine,Fordham,76,73,1
2009-11-13,nc,Liberty,George Mason,72,76,0
2009-11-13,nc,Houston Baptist,South Alabama,64,76,0
2009-11-13,nc,Hofstra,Kansas,65,101,0
2009-11-13,nc,Loyola Chicago,Kansas St.,54,92,0
2009-11-13,nc,Samford,Kent St.,66,69,0
2009-11-13,nc,Vermont,Loyola MD,66,79,0
2009-11-13,nc,Stony Brook,Maryland Eastern Shore,75,57,1
2009-11-13,nc,Mercer,Bucknell,89,80,1
2009-11-13,nc,FIU,Monmouth,70,99,0
2009-11-13,nc,UNC Asheville,Charlotte,70,86,0
2009-11-13,nc,McNeese St.,Northern Colorado,73,101,0
2009-11-13,nc,Winston Salem St.,Oregon,43,94,0
2009-11-13,nc,Pacific,Pepperdine,67,64,1
2009-11-13,nc,Bryant,Providence,53,96,0
2009-11-13,nc,Cal St. Northridge,Purdue,64,89,0
2009-11-13,nc,Navy,Radford,65,76,0
2009-11-13,nc,Cal Poly,San Francisco,62,73,0
2009-11-13,nc,Saint Peter's,Seton Hall,51,53,0
2009-11-13,nc,Alabama A&M,South Carolina,50,88,0
2009-11-13,nc,Brown,St. Francis NY,68,64,1
2009-11-13,nc,American,St. Francis PA,61,65,0
2009-11-13,nc,LIU Brooklyn,St. John's,70,83,0
2009-11-13,nc,Drexel,Saint Joseph's,67,77,0
2009-11-13,nc,Austin Peay,Tennessee,54,83,0
2009-11-13,nc,Siena,Tennessee St.,85,69,1
2009-11-13,nc,Texas Southern,UTEP,70,89,0
2009-11-13,nc,South Dakota,Texas Tech,49,88,0
2009-11-13,nc,Georgetown,Tulane,74,58,1
2009-11-13,nc,Bethune Cookman,VCU,51,77,0
2009-11-13,nc,Army,VMI,86,93,0
2009-11-13,nc,Utah St.,Weber St.,66,60,1
2009-11-13,nc,South Dakota St.,Wyoming,77,61,1
2009-11-13,nc,Youngstown St.,Xavier,57,83,0
2009-11-13,nc,Santa Clara,Cal St. Bakersfield,84,81,1
2009-11-13,nc,North Dakota St.,Utah Valley,72,80,0
2009-11-13,nc,Western Illinois,Arizona St.,35,87,0
2009-11-14,nc,Temple,Delaware,76,56,1
2009-11-14,nc,Florida A&M,Georgia Tech,59,100,0
2009-11-14,nc,Tennessee Martin,Southern Illinois,63,91,0
2009-11-14,nc,North Florida,Notre Dame,65,86,0
2009-11-14,nc,Southeast Missouri St.,Saint Louis,41,59,0
2009-11-14,nc,Boise St.,Montana,82,95,0
2009-11-14,nc,North Dakota,Loyola Marymount,60,83,0
2009-11-14,nc,USC Upstate,Nebraska,49,76,0
2009-11-14,nc,Marist,Rutgers,67,74,0
2009-11-14,nc,UC Riverside,New Mexico,51,67,0
2009-11-14,nc,Seattle,Oklahoma St.,64,86,0
2009-11-14,nc,Mount St. Mary's,Oklahoma,71,95,0
2009-11-14,nc,Oregon St.,South Dakota,62,47,1
2009-11-13,nc,Fairleigh Dickinson,Villanova,61,84,0
2009-11-14,nc,South Alabama,Rice,69,71,0
2009-11-14,nc,Belmont,Washington,78,96,0
2009-11-14,nc,Elon,Lipscomb,91,86,1
2009-11-14,nc,Louisiana Tech,UT Rio Grande Valley,80,62,1
2009-11-13,nc,Stanford,San Diego,64,77,0
2009-11-14,nc,Southern Miss,Louisiana Lafayette,79,72,1
2009-11-13,nc,Boston University,Iona,73,82,0
2009-11-14,nc,Portland,Eastern Washington,64,58,1
2009-11-14,nc,Cornell,Alabama,71,67,1
2009-11-14,nc,Princeton,Central Michigan,71,68,1
2009-11-14,nc,Creighton,Dayton,80,90,0
2009-11-14,nc,IUPUI,Drake,88,82,1
2009-11-14,nc,Appalachian St.,East Tennessee St.,58,62,0
2009-11-14,nc,Mississippi Valley St.,Gonzaga,74,92,0
2009-11-14,nc,Sacramento St.,Houston Baptist,70,60,1
2009-11-14,nc,UAB,Kent St.,65,72,0
2009-11-14,nc,Hampton,La Salle,80,83,0
2009-11-14,nc,NJIT,Manhattan,58,70,0
2009-11-14,nc,Bryant,Mercer,56,80,0
2009-11-14,nc,North Carolina Central,Miami FL,53,83,0
2009-11-14,nc,UC Davis,Oregon,64,95,0
2009-11-14,nc,Portland St.,Wright St.,70,75,0
2009-11-14,nc,Bucknell,Providence,65,76,0
2009-11-13,nc,South Florida,SMU,67,61,1
2009-11-13,nc,New Mexico St.,Saint Mary's,68,100,0
2009-11-14,nc,Texas A&M Corpus Chris,Texas Tech,59,66,0
2009-11-14,nc,Eastern Illinois,Toledo,72,62,1
2009-11-14,nc,Colorado St.,Winston Salem St.,57,40,1
2009-11-14,nc,Samford,Green Bay,68,70,0
2009-11-15,nc,Samford,UAB,52,55,0
2009-11-15,nc,South Alabama,Sacramento St.,70,58,1
2009-11-15,nc,Stetson,Florida,46,74,0
2009-11-15,nc,McNeese St.,Hawaii,65,73,0
2009-11-15,nc,Chicago St.,Iowa St.,50,72,0
2009-11-15,nc,Idaho St.,Bradley,69,74,0
2009-11-15,nc,William & Mary,Harvard,85,87,0
2009-11-15,nc,Loyola Marymount,Montana,63,64,0
2009-11-15,nc,Valparaiso,North Carolina,77,88,0
2009-11-15,nc,Wake Forest,East Carolina,89,58,1
2009-11-15,nc,Boise St.,North Dakota,75,60,1
2009-11-15,nc,Middle Tennessee,Ohio,68,81,0
2009-11-15,nc,FIU,Tulsa,49,81,0
2009-11-15,nc,Hartford,Baylor,69,71,0
2009-11-15,nc,Houston Baptist,Rice,46,60,0
2009-11-15,nc,UC Irvine,Texas,42,89,0
2009-11-15,nc,Southern Utah,Northern Colorado,51,73,0
2009-11-15,nc,Brown,Virginia Tech,55,69,0
2009-11-15,nc,Portland St.,Washington,55,111,0
2009-11-15,nc,North Carolina A&T,Marshall,63,79,0
2009-11-15,nc,Loyola MD,West Virginia,60,83,0
2009-11-15,nc,Bethune Cookman,Old Dominion,38,69,0
2009-11-15,nc,Winston Salem St.,UC Davis,79,99,0
2009-11-15,nc,George Washington,UNC Wilmington,76,71,1
2009-11-15,nc,South Dakota,Texas A&M Corpus Chris,76,73,1
2009-11-15,nc,Austin Peay,Akron,80,77,1
2009-11-15,nc,Wright St.,Belmont,82,73,1
2009-11-15,nc,Bucknell,Bryant,59,56,1
2009-11-15,nc,Vermont,Buffalo,58,57,1
2009-11-14,nc,Davidson,Butler,62,73,0
2009-11-15,nc,Arkansas Pine Bluff,Denver,56,75,0
2009-11-15,nc,Fordham,Fairfield,55,63,0
2009-11-15,nc,Dartmouth,George Mason,44,60,0
2009-11-15,nc,UTSA,Iowa,62,50,1
2009-11-15,nc,Western Illinois,Kansas St.,50,82,0
2009-11-15,nc,Green Bay,Kent St.,87,86,1
2009-11-15,nc,Navy,Longwood,79,76,1
2009-11-15,nc,Morgan St.,UMBC,72,57,1
2009-11-15,nc,Seton Hall,Monmouth,87,72,1
2009-11-15,nc,Alcorn St.,Louisiana Monroe,66,82,0
2009-11-14,nc,Montana St.,Nevada,61,75,0
2009-11-14,nc,Eastern Michigan,Oakland,81,77,1
2009-11-15,nc,Colorado St.,Oregon,55,68,0
2009-11-15,nc,Mercer,Providence,77,79,0
2009-11-15,nc,Lafayette,Sacred Heart,70,81,0
2009-11-15,nc,Illinois St.,SIU Edwardsville,82,60,1
2009-11-15,nc,Oregon St.,Texas Tech,60,64,0
