Date,Type,Team,Opp,Points_For,Points_Against,Win
2012-11-09,nc,IPFW,Auburn,50,61,0
2012-11-09,nc,Sam Houston St.,Arkansas,68,73,0
2012-11-09,nc,San Francisco,Stanford,62,74,0
2012-11-09,nc,Indiana St.,UCLA,59,86,0
2012-11-09,nc,Coppin St.,USC,73,87,0
2012-11-09,nc,Montana,Colorado St.,65,72,0
2012-11-09,nc,Wofford,Colorado,59,74,0
2012-11-09,nc,Michigan St.,Connecticut,62,66,0
2012-11-09,nc,South Alabama,Florida St.,76,71,1
2012-11-09,nc,Tulane,Georgia Tech,61,79,0
2012-11-09,nc,Jacksonville,Georgia,62,68,0
2012-11-09,nc,Maryland Eastern Shore,Hawaii,64,76,0
2012-11-09,nc,Southern,Iowa St.,59,82,0
2012-11-09,nc,Wright St.,Idaho,80,70,1
2012-11-09,nc,Eastern Illinois,Bradley,53,76,0
2012-11-09,nc,Bryant,Indiana,54,97,0
2012-11-09,nc,Utah Valley,IUPUI,54,67,0
2012-11-09,nc,Maryland,Kentucky,69,72,0
2012-11-09,nc,UC Santa Barbara,LSU,63,77,0
2012-11-09,nc,Boston University,Northeastern,64,65,0
2012-11-09,nc,American,Minnesota,36,72,0
2012-11-09,nc,USC Upstate,Saint Louis,59,76,0
2012-11-09,nc,Mississippi Valley St.,Mississippi,57,93,0
2012-11-09,nc,Georgia St.,Duke,55,74,0
2012-11-09,nc,Miami OH,North Carolina St.,59,97,0
2012-11-09,nc,Gardner Webb,North Carolina,59,76,0
2012-11-09,nc,Radford,Wake Forest,67,79,0
2012-11-09,nc,North Texas,Creighton,51,71,0
2012-11-09,nc,Saint Peter's,Rutgers,56,52,1
2012-11-09,nc,Bethune Cookman,St. Bonaventure,55,65,0
2012-11-09,nc,UC Davis,Oklahoma St.,65,73,0
2012-11-09,nc,Niagara,Oregon St.,83,102,0
2012-11-09,nc,St. Francis PA,Penn St.,58,65,0
2012-11-09,nc,UMBC,Penn,75,80,0
2012-11-09,nc,Mount St. Mary's,Pittsburgh,48,80,0
2012-11-09,nc,Norfolk St.,Rhode Island,67,55,1
2012-11-09,nc,Towson,College of Charleston,58,75,0
2012-11-09,nc,Lehigh,Baylor,77,99,0
2012-11-09,nc,Louisiana Tech,Texas A&M,59,71,0
2012-11-09,nc,Florida A&M,Houston,76,81,0
2012-11-09,nc,Fresno St.,Texas,53,55,0
2012-11-09,nc,Tennessee St.,BYU,66,81,0
2012-11-09,nc,Liberty,Richmond,42,84,0
2012-11-09,nc,Longwood,Marshall,47,81,0
2012-11-09,nc,Holy Cross,Old Dominion,46,45,1
2012-11-09,nc,UC Riverside,DePaul,59,91,0
2012-11-09,nc,Denver,Iona,58,65,0
2012-11-09,nc,St. Francis NY,Lafayette,76,65,1
2012-11-09,nc,Akron,Coastal Carolina,70,74,0
2012-11-09,nc,Grambling St.,Cleveland St.,49,92,0
2012-11-09,nc,Fordham,Texas St.,76,86,0
2012-11-09,nc,South Dakota St.,Alabama,67,70,0
2012-11-09,nc,Mississippi St.,Troy,53,56,0
2012-11-09,nc,Colgate,Illinois,55,75,0
2012-11-09,nc,Duquesne,Albany,66,69,0
2012-11-09,nc,Tennessee Martin,Arkansas Little Rock,68,84,0
2012-11-09,nc,Samford,Austin Peay,64,75,0
2012-11-09,nc,Belmont,Lipscomb,89,60,1
2012-11-09,nc,Virginia,George Mason,59,63,0
2012-11-09,nc,Southern Utah,Gonzaga,65,103,0
2012-11-09,nc,UNC Greensboro,High Point,73,81,0
2012-11-09,nc,Houston Baptist,Arkansas Pine Bluff,72,68,1
2012-11-09,nc,UT Rio Grande Valley,Iowa,55,86,0
2012-11-09,nc,Southeast Missouri St.,Kansas,55,74,0
2012-11-09,nc,North Dakota,Kansas St.,52,85,0
2012-11-09,nc,Drexel,Kent St.,62,66,0
2012-11-09,nc,Morehead St.,LIU Brooklyn,77,74,1
2012-11-09,nc,Toledo,Loyola Chicago,50,62,0
2012-11-09,nc,Binghamton,Loyola MD,45,71,0
2012-11-09,nc,Stony Brook,Marist,60,57,1
2012-11-09,nc,Stetson,Miami FL,79,87,0
2012-11-09,nc,Alabama St.,Middle Tennessee,53,97,0
2012-11-09,nc,Hofstra,Monmouth,62,91,0
2012-11-09,nc,Morgan St.,UTSA,71,59,1
2012-11-09,nc,Western Carolina,UNC Asheville,61,71,0
2012-11-09,nc,Charleston Southern,Charlotte,58,68,0
2012-11-09,nc,Northern Illinois,Nebraska Omaha,64,77,0
2012-11-09,nc,San Jose St.,New Orleans,68,72,0
2012-11-09,nc,Pepperdine,Cal St. Northridge,75,81,0
2012-11-09,nc,Bucknell,Purdue,70,65,1
2012-11-09,nc,Robert Morris,Rider,54,79,0
2012-11-09,nc,UMKC,Seton Hall,36,75,0
2012-11-09,nc,Vermont,Siena,54,53,1
2012-11-09,nc,Cal Poly,TCU,46,53,0
2012-11-09,nc,Kennesaw St.,Tennessee,67,76,0
2012-11-09,nc,Oral Roberts,UTEP,49,69,0
2012-11-09,nc,Prairie View A&M,Texas Tech,79,89,0
2012-11-09,nc,Florida Gulf Coast,VCU,57,80,0
2012-11-09,nc,Georgia Southern,Valparaiso,54,85,0
2012-11-09,nc,Hampton,William & Mary,51,69,0
2012-11-09,nc,Fairleigh Dickinson,Xavier,75,117,0
2012-11-09,nc,UT Arlington,Cal St. Bakersfield,62,60,1
