Date,Type,Team,Opp,Points_For,Points_Against,Win
2008-11-10,nc,Presbyterian,Duke,49,80,0
2008-11-10,nc,Georgia Southern,Houston,65,63,1
2008-11-11,nc,Northeastern,IUPUI,73,60,1
2008-11-11,nc,Georgia Southern,Duke,54,97,0
2008-11-11,nc,Houston,Presbyterian,76,57,1
2008-11-12,nc,Prairie View A&M,UCLA,58,82,0
2008-11-12,nc,Massachusetts,Southern Illinois,73,80,0
2008-11-12,nc,Northeastern,Michigan,56,76,0
2008-11-12,nc,Miami OH,Weber St.,70,66,1
2008-11-13,nc,Miami OH,UCLA,59,64,0
2008-11-13,nc,Weber St.,Prairie View A&M,78,68,1
2008-11-14,nc,Missouri St.,Auburn,60,75,0
2008-11-14,nc,Alcorn St.,South Alabama,79,87,0
2008-11-14,nc,Southeastern Louisiana,Arkansas,87,91,0
2008-11-14,nc,Mississippi Valley St.,Arizona St.,64,80,0
2008-11-14,nc,Arkansas Little Rock,Cal Poly,67,40,1
2008-11-14,nc,Montana,Colorado St.,55,85,0
2008-11-14,nc,Arkansas Pine Bluff,Colorado,56,76,0
2008-11-14,nc,Western Carolina,Connecticut,55,81,0
2008-11-14,nc,Quinnipiac,Hartford,63,62,1
2008-11-14,nc,Stanford,Yale,75,67,1
2008-11-14,nc,Oregon St.,Howard,45,47,0
2008-11-14,nc,Toledo,Florida,58,80,0
2008-11-14,nc,SMU,South Florida,46,60,0
2008-11-14,nc,Winston Salem St.,Georgia Tech,47,92,0
2008-11-14,nc,USC Upstate,Georgia,48,72,0
2008-11-14,nc,San Francisco,Hawaii,75,70,1
2008-11-14,nc,UC Davis,Iowa St.,58,61,0
2008-11-14,nc,Illinois Chicago,Bradley,61,67,0
2008-11-14,nc,VMI,Kentucky,111,103,1
2008-11-14,nc,Central Connecticut,Boston College,65,80,0
2008-11-14,nc,George Washington,Boston University,63,58,1
2008-11-14,nc,Sacred Heart,Holy Cross,58,67,0
2008-11-14,nc,Navy,Towson,68,86,0
2008-11-14,nc,Bucknell,Maryland,52,81,0
2008-11-14,nc,Arkansas St.,Mississippi,52,65,0
2008-11-14,nc,North Carolina Central,Wake Forest,48,94,0
2008-11-14,nc,Central Michigan,Princeton,55,53,1
2008-11-14,nc,Marist,Rutgers,61,63,0
2008-11-14,nc,Southeast Missouri St.,New Mexico,59,102,0
2008-11-14,nc,Robert Morris,St. Bonaventure,62,72,0
2008-11-14,nc,UTSA,Oklahoma St.,57,76,0
2008-11-14,nc,American,Oklahoma,54,83,0
2008-11-14,nc,William & Mary,Penn St.,51,65,0
2008-11-14,nc,Temple,East Tennessee St.,79,65,1
