Season,Seed,TeamID
2025,W01,24
2025,W02,16
2025,W03,40
2025,W04,43
2025,W05,2
2025,W06,551
2025,W07,6
2025,W08,74
2025,W09,14
2025,W10,641
2025,W11,27
2025,W12,481
2025,W13,536
2025,W14,162
2025,W15,4
2025,W16,1016
2025,X01,31
2025,X02,38
2025,X03,109
2025,X04,49
2025,X05,151
2025,X06,623
2025,X07,15
2025,X08,432
2025,X09,687
2025,X10,50
2025,X11,289
2025,X12,1046
2025,X13,139
2025,X14,97
2025,X15,281
2025,X16,1026
2025,Y01,181
2025,Y02,311
2025,Y03,322
2025,Y04,735
2025,Y05,22
2025,Y06,55
2025,Y07,186
2025,Y08,34
2025,Y09,634
2025,Y10,324
2025,Y11,167
2025,Y12,376
2025,Y13,1030
2025,Y14,799
2025,Y15,219
2025,Y16,916
2025,Z01,54
2025,Z02,64
2025,Z03,61
2025,Z04,331
2025,Z05,45
2025,Z06,57
2025,Z07,114
2025,Z08,997
2025,Z09,35
2025,Z10,325
2025,Z11,1062
2025,Z12,855
2025,Z13,728
2025,Z14,130
2025,Z15,304
2025,Z16,1058
