Config_Type,Model,Parameter,Value
tuned,glm,penalty,1
tuned,glm,mixture,0
tuned,glm,.config,pre0_mod08_post0
tuned,xgboost,trees,411
tuned,xgboost,min_n,8
tuned,xgboost,tree_depth,4
tuned,xgboost,learn_rate,0.0112559928542867
tuned,xgboost,.config,pre0_mod10_post0
tuned,rand_forest,mtry,6
tuned,rand_forest,trees,770
tuned,rand_forest,min_n,7
tuned,rand_forest,.config,pre0_mod09_post0
