YEAR,TEAM NO,TEAM,SEED,ROUND,Z RATING,Z RATING RANK
2015,521,Eastern Washington,13,64,N/A,55
2015,487,San Diego St.,8,32,N/A,56
2015,525,Coastal Carolina,16,64,N/A,57
2015,497,Northeastern,14,64,N/A,58
2015,526,Cincinnati,8,32,N/A,59
2015,470,Wofford,12,64,N/A,60
2015,531,Belmont,15,64,N/A,61
2015,469,Wyoming,12,64,N/A,62
2015,535,Albany,14,64,N/A,63
2015,488,Robert Morris,16,64,N/A,64
2015,506,Manhattan,16,68,N/A,65
2015,482,Texas Southern,15,64,N/A,66
2015,499,North Dakota St.,15,64,N/A,67
2015,516,Hampton,16,64,N/A,68
