Year,Team,G,W,L,W-L%,SRS,SOS,Conf. W,Conf. L,Home W,Home L,Away W,Away L,Team Points,Opp Points,FG%,3P%,FT%,Home win rate,Away win rate,Conference win rate,Point diff %,AdjEM,AdjO,AdjD,AdjT,Luck,SOS AdjEM,OppO,OppD,NCSOS AdjEM,Seed,Made Round of 16
2024,Texas A&M,34,20,14,0.588,13.04,9.07,9,9,10,5,6,6,2543,2408,0.399,0.284,0.709,0.67,0.5,0.5,0.056063123,16.11,116,99.9,65.8,-0.025,11.46,112.7,101.2,5.29,9,
2024,Texas Tech,33,23,10,0.697,15.97,9.73,11,7,15,2,4,6,2494,2288,0.453,0.365,0.778,0.88,0.4,0.61,0.090034965,18.54,117.9,99.4,66.6,0.04,10.53,111.3,100.8,-2.37,6,
2024,UAB,34,23,11,0.676,5.2,3.62,12,6,12,5,7,5,2646,2558,0.451,0.326,0.746,0.71,0.58,0.67,0.034401876,6.28,113.7,107.4,67.8,0.116,4.45,108.8,104.4,1.94,12,
2024,Utah State,33,27,6,0.818,12.16,4.74,14,4,14,1,8,4,2633,2319,0.493,0.331,0.715,0.93,0.67,0.78,0.135403191,15.11,115.6,100.5,68.5,0.1,6.02,109.4,103.3,1.84,8,
2024,Vermont,34,28,6,0.824,2.91,-3.9,15,1,16,1,10,4,2459,2141,0.456,0.344,0.72,0.94,0.71,0.94,0.148528725,6.98,107.1,100.1,63.2,0.063,-2.65,104.3,107,2.53,13,
2024,Virginia,33,23,10,0.697,10.97,6.97,13,7,15,2,5,6,2098,1966,0.434,0.363,0.637,0.88,0.45,0.65,0.067141404,12.08,105.4,93.3,59.9,0.109,8.03,111.2,103.2,-1.19,10,
2024,Wagner,31,16,15,0.516,-10.87,-9.52,7,9,7,5,9,10,1970,1925,0.392,0.322,0.71,0.58,0.47,0.44,0.023376623,-10.09,95.8,105.9,61.3,0.022,-8.19,100.2,108.4,-1.11,16,
2024,Washington State,33,24,9,0.727,14.28,6.85,14,6,15,2,6,4,2452,2207,0.466,0.34,0.701,0.88,0.6,0.7,0.111010421,16.22,113.4,97.2,64.8,0.021,6.98,109.9,103,-5.1,7,
2024,Western Kentucky,33,22,11,0.667,1.43,-3.4,8,8,12,2,6,7,2659,2444,0.468,0.34,0.719,0.86,0.46,0.5,0.08797054,3.06,105.6,102.5,75.1,-0.051,-2.53,103.7,106.2,-2.76,15,
2024,Wisconsin,35,22,13,0.629,16.8,11.69,11,9,14,3,3,9,2627,2448,0.463,0.348,0.759,0.82,0.25,0.55,0.073120915,20.6,120.1,99.5,65.2,-0.031,14,113.3,99.3,6.22,5,
2024,Yale,31,22,9,0.71,4.8,-0.61,11,3,9,2,9,6,2330,2065,0.47,0.347,0.709,0.82,0.6,0.79,0.128329298,9.47,110.8,101.4,64.5,0.001,2.09,108.3,106.2,5.38,13,
